               state	                soln	                  pH	                  pe	                C(4)	                  Ca	                  Mg	                  Cl	             Calcite	           d_Calcite	       Dolomite(dis)	     d_Dolomite(dis)	
               react	                  39	  9.909410625007e+00	  8.405473546989e+00	  1.228498459610e-04	  1.229826297687e-04	  2.791619261832e-06	  5.848805142274e-06	  2.074839508566e-04	 -1.812127961250e-10	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  40	  9.909240200899e+00	  8.213668234260e+00	  1.228859935873e-04	  1.230805799346e-04	  3.970939848660e-06	  8.331051396386e-06	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  40	  9.909240920124e+00	  8.205322815538e+00	  1.228862798863e-04	  1.230808662336e-04	  3.970939848670e-06	  8.331051396407e-06	  2.074835955193e-04	 -2.862987265068e-10	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  41	  9.909598304469e+00	  8.359724315326e+00	  1.228075586556e-04	  1.228736503688e-04	  1.465545673777e-06	  3.063273775711e-06	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  41	  9.909598456091e+00	  8.350915256321e+00	  1.228076189834e-04	  1.228737106966e-04	  1.465545673778e-06	  3.063273775713e-06	  2.074843312951e-04	 -6.032778085679e-11	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  42	  9.909506191169e+00	  8.346084762889e+00	  1.228286481714e-04	  1.229270019457e-04	  2.120300915946e-06	  4.437308382898e-06	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  42	  9.909506440386e+00	  8.345724692995e+00	  1.228287473426e-04	  1.229271011168e-04	  2.120300915948e-06	  4.437308382902e-06	  2.074842114381e-04	 -9.917100051316e-11	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  43	  9.909698047256e+00	 -4.220876327562e+00	  1.227838235488e-04	  1.228158072155e-04	  7.462192951456e-07	  1.556404924755e-06	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  43	  9.909698094129e+00	 -4.030057408748e+00	  1.227838421962e-04	  1.228158258630e-04	  7.462192951457e-07	  1.556404924756e-06	  2.074844523164e-04	 -1.864743662218e-11	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  44	  9.909649733823e+00	  8.188300173753e+00	  1.227955479341e-04	  1.228438558306e-04	  1.097361613149e-06	  2.291338020630e-06	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  44	  9.909649813710e+00	  8.220460861108e+00	  1.227955797176e-04	  1.228438876141e-04	  1.097361613149e-06	  2.291338020630e-06	  2.074844148196e-04	 -3.178343300895e-11	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  45	  9.909749283971e+00	 -4.909070612829e+00	  1.227709726818e-04	  1.227860329951e-04	  3.688682568238e-07	  7.678561407583e-07	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  45	  9.909749297515e+00	 -4.866611301478e+00	  1.227709780692e-04	  1.227860383825e-04	  3.688682568238e-07	  7.678561407584e-07	  2.074844882280e-04	 -5.387444667899e-12	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  46	  9.909724728028e+00	  8.261651337873e+00	  1.227772386298e-04	  1.228003136334e-04	  5.510200886268e-07	  1.148189185360e-06	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  46	  9.909724751895e+00	  8.251432107109e+00	  1.227772481242e-04	  1.228003231279e-04	  5.510200886268e-07	  1.148189185360e-06	  2.074844772693e-04	 -9.494471723583e-12	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  47	  9.909774814854e+00	  8.216658412893e+00	  1.227642686434e-04	  1.227711743403e-04	  1.771839968444e-07	  3.681783878637e-07	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  47	  9.909774818531e+00	  8.209254830466e+00	  1.227642701060e-04	  1.227711758030e-04	  1.771839968444e-07	  3.681783878637e-07	  2.074844982302e-04	 -1.462652048090e-12	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  48	  9.909762706448e+00	 -4.649894255153e+00	  1.227674973844e-04	  1.227782251450e-04	  2.686991779291e-07	  5.588528774815e-07	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  48	  9.909762713134e+00	 -4.692367374155e+00	  1.227675000437e-04	  1.227782278043e-04	  2.686991779291e-07	  5.588528774816e-07	  2.074844952192e-04	 -2.659269587304e-12	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  49	  9.909787168512e+00	  8.342962111082e+00	  1.227608904852e-04	  1.227639764349e-04	  8.278122749116e-08	  1.717333544647e-07	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  49	  9.909787169455e+00	  8.343871305444e+00	  1.227608908600e-04	  1.227639768097e-04	  8.278122749116e-08	  1.717333544647e-07	  2.074845008562e-04	 -3.748233548626e-13	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  50	  9.909781369893e+00	  8.387967991850e+00	  1.227624983300e-04	  1.227673564099e-04	  1.273674321661e-07	  2.644500242970e-07	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  50	  9.909781371658e+00	  8.387331394739e+00	  1.227624990318e-04	  1.227673571117e-04	  1.273674321661e-07	  2.644500242970e-07	  2.074845000765e-04	 -7.017377943921e-13	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  51	  9.909792978941e+00	 -4.335728058160e+00	  1.227592429204e-04	  1.227605878940e-04	  3.765244125971e-08	  7.799382992233e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  51	  9.909792979170e+00	 -4.509997366152e+00	  1.227592430114e-04	  1.227605879851e-04	  3.765244125971e-08	  7.799382992233e-08	  2.074845015074e-04	 -9.102026315815e-14	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  52	  9.909790279255e+00	  8.365555814713e+00	  1.227600182008e-04	  1.227621628165e-04	  5.874216812882e-08	  1.217725677582e-07	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  52	  9.909790279695e+00	  8.364559607588e+00	  1.227600183760e-04	  1.227621629917e-04	  5.874216812882e-08	  1.217725677582e-07	  2.074845013169e-04	 -1.751777434049e-13	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  53	  9.909795637986e+00	  8.274204587879e+00	  1.227584638620e-04	  1.227590360161e-04	  1.668792650184e-08	  3.451916122123e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  53	  9.909795638039e+00	  8.266250086239e+00	  1.227584638830e-04	  1.227590360371e-04	  1.668792650184e-08	  3.451916122123e-08	  2.074845016595e-04	 -2.099760794926e-14	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  54	  9.909794414833e+00	 -4.704261348582e+00	  1.227588264366e-04	  1.227597500704e-04	  2.638404117746e-08	  5.461435010387e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  54	  9.909794414937e+00	 -4.778869407393e+00	  1.227588264781e-04	  1.227597501119e-04	  2.638404117746e-08	  5.461435010387e-08	  2.074845016157e-04	 -4.151876325381e-14	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  55	  9.909796823093e+00	 -4.891039385297e+00	  1.227581061648e-04	  1.227583439098e-04	  7.213582074268e-09	  1.490165406611e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  55	  9.909796823105e+00	 -4.910398628407e+00	  1.227581061694e-04	  1.227583439143e-04	  7.213582074268e-09	  1.490165406611e-08	  2.074845016970e-04	 -4.592924348137e-15	  0.000000000000e+00	  0.000000000000e+00	
              i_soln	                  56	  9.909796283283e+00	  8.378267815882e+00	  1.227582708658e-04	  1.227586592365e-04	  1.155121746661e-08	  2.387817638865e-08	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	  0.000000000000e+00	
               react	                  56	  9.909796283306e+00	  8.377472838758e+00	  1.227582708751e-04	  1.227586592458e-04	  1.155121746661e-08	  2.387817638865e-08	  2.074845016848e-04	 -9.347449030084e-15	  0.000000000000e+00	  0.000000000000e+00	
