               state	                soln	                  pH	                  pe	          Synthetica	          Syntheticb	          k_Productd	         dk_Productd	
               react	                  82	  7.008586270753e+00	  1.124404604102e+01	  2.920163907891e-01	  2.920163907891e-01	  4.451757557439e-01	  2.850742508939e-03	
              i_soln	                  83	  7.008779919418e+00	  1.127368708751e+01	  2.885808854851e-01	  2.885808854851e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  83	  7.008929630905e+00	  1.127221242087e+01	  2.857892290950e-01	  2.857892290950e-01	  4.294116777009e-01	  2.791656389867e-03	
              i_soln	                  84	  7.008654158881e+00	  1.117063898303e+01	  2.908678643855e-01	  2.908678643855e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  84	  7.008803924960e+00	  1.117439682729e+01	  2.880547037946e-01	  2.880547037946e-01	  4.351270676700e-01	  2.813160590665e-03	
              i_soln	                  85	  7.008997810899e+00	  1.128744383247e+01	  2.846574987015e-01	  2.846574987015e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  85	  7.009147420517e+00	  1.129155450606e+01	  2.819027555382e-01	  2.819027555382e-01	  4.196592354659e-01	  2.754743163046e-03	
              i_soln	                  86	  7.008872000696e+00	 -2.115984455398e+00	  2.869168230154e-01	  2.869168230154e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  86	  7.009021670276e+00	 -2.095428610382e+00	  2.841408195682e-01	  2.841408195682e-01	  4.252670782226e-01	  2.776003446919e-03	
              i_soln	                  87	  7.009215772892e+00	  1.112614718807e+01	  2.807816804411e-01	  2.807816804411e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  87	  7.009365270575e+00	  1.112072859101e+01	  2.780634303625e-01	  2.780634303625e-01	  4.100906438384e-01	  2.718250078399e-03	
              i_soln	                  88	  7.009089924379e+00	 -1.719294740345e+00	  2.830135922032e-01	  2.830135922032e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  88	  7.009239487904e+00	 -1.751939482808e+00	  2.802743240480e-01	  2.802743240480e-01	  4.155927157144e-01	  2.739268154972e-03	
              i_soln	                  89	  7.009433785646e+00	  1.113927316689e+01	  2.769530092762e-01	  2.769530092762e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  89	  7.009583161786e+00	  1.110919628634e+01	  2.742708351393e-01	  2.742708351393e-01	  4.007028962142e-01	  2.682174136640e-03	
              i_soln	                  90	  7.009307910240e+00	  1.119197526441e+01	  2.791577521401e-01	  2.791577521401e-01	  0.000000000000e+00	  0.000000000000e+00	
               react	                  90	  7.009457357865e+00	  1.119537531799e+01	  2.764548003965e-01	  2.764548003965e-01	  4.061009293612e-01	  2.702951743443e-03	
              i_soln	                  91	  7.009651829417e+00	  1.120432568206e+01	  2.731710609803e-01	  2.731710609803e-01	  0.000000000000e+00	  0.000000000000e+00	
